,Amount.Requested,Amount.Funded.By.Investors,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,State,Home.Ownership,Monthly.Income,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Employment.Length,FICO.Score
72346,3625,3625.0,0.1409,36,debt_consolidation,11.32%,FL,MORTGAGE,3895.0,665-669,9.0,12251.0,0.0,10+ years,665
96897,10000,10000.0,0.1311,36,debt_consolidation,8.11%,CO,OWN,3500.0,685-689,11.0,11401.0,1.0,10+ years,685
34644,19425,19400.0,0.1242,60,debt_consolidation,18.45%,CA,MORTGAGE,3225.23,745-749,10.0,6782.0,1.0,2 years,745
56674,8400,8400.0,0.1367,36,credit_card,17%,TX,RENT,4583.33,695-699,14.0,20318.0,2.0,5 years,695
24980,10000,10000.0,0.1399,36,debt_consolidation,18.14%,CA,RENT,4166.67,680-684,9.0,10545.0,1.0,3 years,680
13069,6000,6000.0,0.1323,36,debt_consolidation,22.47%,FL,MORTGAGE,9367.0,685-689,13.0,33815.0,0.0,1 year,685
70800,10000,10000.0,0.1433,36,debt_consolidation,25.01%,NV,RENT,4666.67,670-674,9.0,19479.0,0.0,10+ years,670
54229,6000,6000.0,0.12119999999999999,36,debt_consolidation,16.39%,NM,RENT,1312.08,675-679,7.0,12475.0,0.0,1 year,675
89139,16000,16000.0,0.1531,60,major_purchase,15.74%,NY,RENT,11250.0,675-679,10.0,15550.0,0.0,2 years,675
91401,22000,21925.0,0.1727,36,credit_card,18.02%,CA,MORTGAGE,8666.67,660-664,12.0,9317.0,2.0,10+ years,660
15083,25000,24950.0,0.2127,36,credit_card,8.33%,CA,MORTGAGE,12500.0,670-674,3.0,26057.0,0.0,10+ years,670
84592,13200,13200.0,0.1972,36,credit_card,9.07%,CA,MORTGAGE,5083.33,665-669,5.0,10771.0,0.0,10+ years,665
16548,24000,14450.0,0.0999,60,debt_consolidation,8.08%,AL,MORTGAGE,8083.33,765-769,9.0,13559.0,0.0,10+ years,765
3591,12250,2200.0,0.1505,36,debt_consolidation,23.80%,GA,MORTGAGE,7416.67,660-664,13.0,19136.0,1.0,8 years,660
91669,21000,21000.0,0.1114,60,debt_consolidation,16.18%,NY,MORTGAGE,7083.33,705-709,8.0,22298.0,1.0,9 years,705
66349,9000,9000.0,0.1433,36,credit_card,15.36%,CO,MORTGAGE,7083.33,685-689,19.0,11077.0,1.0,2 years,685
59388,5000,5000.0,0.1114,36,credit_card,18.30%,OH,RENT,4665.83,690-694,21.0,4677.0,0.0,4 years,690
44394,35000,34975.0,0.08900000000000001,36,debt_consolidation,17.90%,LA,OWN,8750.0,775-779,8.0,31600.0,3.0,< 1 year,775
85008,20000,20000.0,0.2198,60,credit_card,25.48%,NY,OTHER,6416.67,670-674,15.0,14115.0,0.0,10+ years,670
91394,12000,11975.0,0.079,36,debt_consolidation,12.78%,VA,RENT,10000.0,705-709,9.0,23474.0,0.0,< 1 year,705
40061,10000,10000.0,0.1349,36,credit_card,22.08%,NY,RENT,6000.0,680-684,8.0,11088.0,0.0,3 years,680
9216,10750,10725.0,0.1311,36,debt_consolidation,14.02%,MI,MORTGAGE,4416.67,685-689,6.0,11525.0,0.0,10+ years,685
17731,4000,3975.0,0.1483,36,moving,22.09%,CA,RENT,5600.0,680-684,8.0,7900.0,1.0,5 years,680
84394,10450,10450.0,0.1311,36,debt_consolidation,21.33%,TX,RENT,2658.83,705-709,10.0,13371.0,1.0,10+ years,705
74496,3000,2950.0,0.08900000000000001,36,home_improvement,16.80%,NY,MORTGAGE,4166.67,725-729,4.0,8082.0,0.0,3 years,725
78960,11000,11000.0,0.12119999999999999,36,debt_consolidation,5.83%,CA,MORTGAGE,4583.33,695-699,11.0,12361.0,0.0,10+ years,695
76662,7500,7500.0,0.1311,36,debt_consolidation,8.04%,NJ,RENT,2796.8,690-694,4.0,4788.0,0.0,7 years,690
11174,7350,7325.0,0.1112,36,debt_consolidation,20.15%,OR,MORTGAGE,4000.0,710-714,17.0,33178.0,0.0,4 years,710
44650,10000,10000.0,0.1074,36,debt_consolidation,10.42%,NY,RENT,5000.0,720-724,6.0,5510.0,2.0,3 years,720
44434,8000,8000.0,0.1727,36,other,12.20%,MI,RENT,1750.0,665-669,9.0,5828.0,0.0,4 years,665
78935,33600,33600.0,0.23829999999999998,60,debt_consolidation,19.11%,UT,RENT,7666.67,660-664,18.0,12337.0,0.0,10+ years,660
36760,12000,12000.0,0.1527,60,credit_card,16.85%,VA,RENT,4333.33,700-704,15.0,17997.0,1.0,< 1 year,700
28305,5000,5000.0,0.17489999999999997,60,car,16.71%,PA,RENT,2400.0,670-674,6.0,2023.0,1.0,3 years,670
83591,10000,10000.0,0.1114,36,credit_card,11.64%,VA,MORTGAGE,12083.33,715-719,14.0,38378.0,1.0,2 years,715
84575,2075,2075.0,0.1016,36,debt_consolidation,22%,SC,RENT,2250.0,700-704,5.0,7195.0,0.0,2 years,700
103448,16000,15825.0,0.16820000000000002,36,credit_card,20.30%,TX,MORTGAGE,6250.0,665-669,18.0,30772.0,5.0,1 year,665
60833,6000,6000.0,0.12119999999999999,36,credit_card,30.82%,CT,MORTGAGE,4166.67,695-699,8.0,13250.0,1.0,n/a,695
55999,8600,8600.0,0.1399,36,credit_card,9.09%,CA,RENT,4500.0,680-684,6.0,11183.0,0.0,5 years,680
80302,16800,16800.0,0.079,60,debt_consolidation,3.34%,FL,MORTGAGE,10666.67,815-819,7.0,4757.0,0.0,10+ years,815
44003,7200,7200.0,0.0751,36,medical,4.43%,NJ,RENT,3000.0,755-759,6.0,75.0,1.0,6 years,755
72532,9000,9000.0,0.1311,36,wedding,24.88%,CA,MORTGAGE,5000.0,700-704,12.0,4621.0,3.0,6 years,700
6211,10000,9767.84,0.12869999999999998,36,debt_consolidation,21.28%,GA,MORTGAGE,8333.33,715-719,24.0,9470.0,1.0,< 1 year,715
77113,11350,11350.0,0.1409,36,debt_consolidation,27.41%,AZ,RENT,2783.33,675-679,14.0,11031.0,0.0,< 1 year,675
71064,6000,6000.0,0.1727,60,home_improvement,11.20%,TX,MORTGAGE,8750.0,685-689,5.0,10980.0,2.0,6 years,685
62035,4000,4000.0,0.12119999999999999,36,small_business,18.44%,AL,RENT,2250.0,680-684,7.0,1955.0,0.0,< 1 year,680
46097,6400,6400.0,0.1074,36,debt_consolidation,19.23%,DC,RENT,3833.33,690-694,13.0,10451.0,0.0,< 1 year,690
50231,3000,3000.0,0.1825,36,debt_consolidation,23.18%,AL,MORTGAGE,4820.0,660-664,23.0,7949.0,3.0,7 years,660
15543,1125,1125.0,0.0579,36,credit_card,17.68%,FL,OWN,3083.33,750-754,8.0,3935.0,0.0,6 years,750
47985,28000,27950.0,0.1311,60,small_business,0%,CO,RENT,4806.0,795-799,6.0,0.0,1.0,4 years,795
90988,6000,6000.0,0.08900000000000001,36,credit_card,24.57%,CA,RENT,6666.67,685-689,22.0,6462.0,0.0,2 years,685
84341,5000,5000.0,0.0603,36,other,6.11%,TX,MORTGAGE,5416.67,795-799,13.0,4956.0,0.0,8 years,795
39507,20000,19975.0,0.203,60,debt_consolidation,20.91%,AK,OWN,4916.67,665-669,16.0,32137.0,2.0,10+ years,665
31960,9200,9200.0,0.07490000000000001,36,credit_card,21.52%,PA,RENT,2416.67,730-734,10.0,21323.0,1.0,10+ years,730
84317,35000,35000.0,0.1311,60,other,12.02%,CA,MORTGAGE,20833.33,740-744,13.0,40765.0,0.0,5 years,740
77987,18000,18000.0,0.20489999999999997,60,debt_consolidation,29.25%,CA,RENT,3750.0,675-679,18.0,8165.0,0.0,6 years,675
29223,8250,8250.0,0.07490000000000001,36,credit_card,24.19%,CO,RENT,2100.0,720-724,7.0,9469.0,0.0,1 year,720
26120,1200,1200.0,0.07490000000000001,36,other,17.88%,AL,OWN,1666.67,710-714,10.0,9154.0,0.0,10+ years,710
20433,10000,10000.0,0.09630000000000001,36,credit_card,17.96%,NY,RENT,7500.0,705-709,8.0,52045.0,0.0,10+ years,705
92965,35000,35000.0,0.1727,60,debt_consolidation,15.30%,MA,MORTGAGE,9000.0,700-704,8.0,41226.0,1.0,10+ years,700
71638,18000,18000.0,0.1531,36,debt_consolidation,15.56%,NM,MORTGAGE,6666.67,690-694,10.0,21174.0,0.0,10+ years,690
29100,20000,19975.0,0.1839,60,debt_consolidation,15.61%,MD,MORTGAGE,7000.0,705-709,6.0,20642.0,2.0,10+ years,705
68581,5500,5500.0,0.1114,36,credit_card,32.16%,PA,OWN,1666.67,690-694,7.0,8826.0,0.0,3 years,690
97449,35000,35000.0,0.22469999999999998,60,debt_consolidation,18.95%,FL,OWN,9583.33,660-664,9.0,14184.0,1.0,n/a,660
78139,35000,35000.0,0.2198,60,credit_card,14.68%,NY,RENT,9166.67,695-699,12.0,37424.0,0.0,3 years,695
74944,20950,20875.0,0.21489999999999998,60,debt_consolidation,27.56%,NY,MORTGAGE,4500.0,675-679,15.0,24210.0,1.0,6 years,675
19701,1500,1500.0,0.09630000000000001,36,other,16.98%,AZ,MORTGAGE,7725.0,695-699,14.0,30626.0,0.0,6 years,695
52814,12000,12000.0,0.1999,36,debt_consolidation,15.16%,KY,RENT,4458.33,660-664,8.0,13935.0,1.0,4 years,660
66454,10000,9975.0,0.1433,36,debt_consolidation,13%,CA,MORTGAGE,3625.0,690-694,10.0,8464.0,2.0,< 1 year,690
60768,9750,9750.0,0.18489999999999998,36,debt_consolidation,11.59%,TX,OWN,2666.67,660-664,7.0,8172.0,0.0,3 years,660
29410,5600,5575.0,0.07490000000000001,36,debt_consolidation,24.74%,WA,RENT,2583.0,740-744,6.0,2454.0,1.0,2 years,740
44334,11200,11200.0,0.1311,60,debt_consolidation,11.73%,CA,MORTGAGE,3333.33,720-724,8.0,8747.0,0.0,10+ years,720
20640,4000,3975.0,0.1343,36,small_business,7.60%,PA,RENT,1750.0,670-674,7.0,7178.0,3.0,< 1 year,670
45821,7000,7000.0,0.08900000000000001,36,small_business,15.79%,PA,MORTGAGE,4700.0,700-704,12.0,7012.0,0.0,1 year,700
91412,18000,18000.0,0.0603,36,debt_consolidation,10.75%,CA,MORTGAGE,7916.67,735-739,13.0,14007.0,2.0,7 years,735
17850,5000,5000.0,0.1261,36,debt_consolidation,13.40%,CA,RENT,2000.0,695-699,9.0,1753.0,0.0,2 years,695
15285,10000,9975.0,0.0925,36,small_business,5.60%,VA,RENT,4000.0,705-709,7.0,8528.0,0.0,< 1 year,705
26894,9800,9800.0,0.19690000000000002,60,debt_consolidation,14.89%,RI,MORTGAGE,5340.25,665-669,8.0,5350.0,1.0,2 years,665
98259,20000,19975.0,0.12119999999999999,36,credit_card,19.82%,UT,MORTGAGE,6750.0,685-689,14.0,21637.0,0.0,5 years,685
102079,5100,4950.0,0.18289999999999998,36,debt_consolidation,25.67%,NJ,RENT,3000.0,640-644,14.0,5004.0,6.0,< 1 year,640
60684,8875,8875.0,0.1114,36,debt_consolidation,31.70%,TX,RENT,2160.0,700-704,19.0,17422.0,0.0,10+ years,700
27607,4400,4400.0,0.0599,36,major_purchase,17.93%,PA,OWN,4000.0,765-769,6.0,9945.0,1.0,5 years,765
38688,35000,23350.0,0.11710000000000001,60,small_business,8.07%,CA,MORTGAGE,7500.0,745-749,6.0,5660.0,0.0,3 years,745
72991,3000,3000.0,0.18489999999999998,36,credit_card,16.07%,NJ,OWN,2916.67,660-664,9.0,6403.0,0.0,< 1 year,660
36061,4800,4800.0,0.1242,36,moving,5.31%,NY,RENT,3500.0,690-694,8.0,5093.0,0.0,5 years,690
40081,5375,5375.0,0.11710000000000001,36,debt_consolidation,28.75%,KY,MORTGAGE,2166.67,720-724,5.0,15475.0,1.0,8 years,720
30824,14000,14000.0,0.1199,60,debt_consolidation,19.52%,TX,MORTGAGE,6333.33,705-709,12.0,32213.0,0.0,< 1 year,705
14118,19800,19775.0,0.1323,36,credit_card,20.09%,MO,MORTGAGE,6666.67,730-734,8.0,31220.0,0.0,< 1 year,730
57483,13025,13025.0,0.1311,36,credit_card,7.75%,UT,MORTGAGE,4333.33,675-679,6.0,13029.0,0.0,10+ years,675
74764,18000,18000.0,0.18489999999999998,36,debt_consolidation,20.56%,CA,RENT,9333.33,675-679,12.0,37526.0,1.0,6 years,675
1670,2500,2275.77,0.0768,36,major_purchase,17.59%,OR,MORTGAGE,3666.67,785-789,6.0,406.0,0.0,10+ years,785
15094,5000,4985.44,0.07139999999999999,36,debt_consolidation,11.40%,CT,OWN,4166.67,755-759,6.0,16666.0,1.0,5 years,755
63651,4500,4500.0,0.1114,36,credit_card,9.73%,CT,RENT,2916.67,685-689,13.0,4265.0,0.0,4 years,685
72750,15000,15000.0,0.08900000000000001,36,debt_consolidation,8.56%,MO,RENT,7500.0,740-744,8.0,8343.0,1.0,< 1 year,740
85468,35000,35000.0,0.20489999999999997,60,debt_consolidation,11.84%,TX,MORTGAGE,18750.0,715-719,14.0,41707.0,2.0,1 year,715
31815,4500,4500.0,0.0849,36,credit_card,2.54%,TX,RENT,2166.67,795-799,2.0,527.0,1.0,3 years,795
75818,4500,4500.0,0.1727,36,debt_consolidation,16.59%,PA,RENT,4666.67,675-679,24.0,893.0,1.0,3 years,675
14231,1450,1450.0,0.0751,36,other,22.20%,MA,RENT,833.33,740-744,9.0,709.0,0.0,n/a,740
4537,6000,6000.0,0.1496,36,small_business,11.55%,TX,RENT,7083.33,760-764,7.0,5341.0,0.0,2 years,760
16023,4500,4500.0,0.0654,36,medical,15.82%,NC,MORTGAGE,3250.0,725-729,16.0,6049.0,0.0,10+ years,725
36134,14000,14000.0,0.0662,36,debt_consolidation,20.18%,TX,RENT,4583.33,750-754,15.0,15890.0,1.0,10+ years,750
87110,15000,15000.0,0.0603,36,debt_consolidation,8.72%,MA,MORTGAGE,12000.0,800-804,17.0,13151.0,0.0,2 years,800
28467,22000,14550.0,0.1099,60,debt_consolidation,15.83%,TX,MORTGAGE,5243.75,760-764,18.0,14115.0,0.0,2 years,760
928,10000,1300.0,0.1103,36,credit_card,11.03%,GA,MORTGAGE,6666.67,695-699,8.0,43712.0,0.0,4 years,695
84897,35000,35000.0,0.20489999999999997,36,debt_consolidation,20.82%,TX,MORTGAGE,12333.33,700-704,23.0,36870.0,0.0,10+ years,700
63224,10000,10000.0,0.20489999999999997,36,debt_consolidation,18.75%,TX,RENT,5250.0,685-689,25.0,3802.0,1.0,3 years,685
103951,6000,6000.0,0.1398,60,medical,24.29%,CA,RENT,2400.0,695-699,11.0,6069.0,4.0,9 years,695
72766,10000,10000.0,0.158,36,debt_consolidation,13.10%,AK,MORTGAGE,4458.33,675-679,7.0,6413.0,1.0,< 1 year,675
4843,10000,9950.0,0.0894,36,debt_consolidation,13.73%,CO,RENT,3125.0,785-789,5.0,417.0,2.0,1 year,785
101907,12000,3639.28,0.133,36,debt_consolidation,12.77%,CA,RENT,3000.0,660-664,15.0,8480.0,4.0,6 years,660
40756,9600,9600.0,0.1465,36,credit_card,2.21%,CA,RENT,5833.33,675-679,7.0,5879.0,1.0,7 years,675
27030,17800,17775.0,0.2211,60,debt_consolidation,5.86%,NC,RENT,7000.0,660-664,9.0,6708.0,0.0,6 years,660
69983,2000,2000.0,0.0762,36,major_purchase,24.69%,TX,MORTGAGE,4333.33,765-769,10.0,2792.0,4.0,10+ years,765
100440,18825,18825.0,0.21,60,debt_consolidation,19.22%,CT,RENT,4583.33,680-684,8.0,17292.0,2.0,10+ years,680
21657,3000,2509.17,0.1306,36,house,12.06%,NV,RENT,2571.42,705-709,2.0,0.0,3.0,6 years,705
78336,2000,2000.0,0.1311,36,debt_consolidation,19.13%,KY,RENT,2916.67,670-674,7.0,4376.0,0.0,10+ years,670
83749,9000,9000.0,0.1777,36,debt_consolidation,13.72%,CA,RENT,4583.33,670-674,14.0,21175.0,1.0,5 years,670
96051,5750,5750.0,0.1311,36,credit_card,24.24%,NY,RENT,1675.0,705-709,18.0,8035.0,0.0,4 years,705
55598,21725,21725.0,0.19219999999999998,60,debt_consolidation,22.48%,LA,OWN,3629.58,675-679,7.0,19685.0,0.0,10+ years,675
92347,20000,20000.0,0.079,36,debt_consolidation,33.28%,NY,RENT,8666.67,725-729,9.0,33067.0,0.0,3 years,725
34650,15350,15325.0,0.1349,60,debt_consolidation,28.63%,WA,MORTGAGE,3200.0,730-734,6.0,9946.0,1.0,10+ years,730
63101,8400,8400.0,0.1433,36,debt_consolidation,11.61%,CA,RENT,3333.33,670-674,11.0,2060.0,0.0,< 1 year,670
29797,4500,4500.0,0.07490000000000001,36,credit_card,27.63%,OR,RENT,2700.0,720-724,13.0,9341.0,0.0,4 years,720
58924,9950,9950.0,0.1531,36,wedding,7.84%,CA,RENT,2833.33,675-679,7.0,4904.0,2.0,n/a,675
42772,15000,15000.0,0.079,36,debt_consolidation,20.75%,IL,MORTGAGE,2583.33,725-729,10.0,9608.0,0.0,3 years,725
8626,10000,9850.0,0.1099,36,other,19.23%,VA,MORTGAGE,9150.0,705-709,16.0,43256.0,2.0,10+ years,705
20234,12000,10400.0,0.1825,60,car,12.11%,CA,RENT,5600.0,660-664,7.0,2409.0,1.0,3 years,660
1677,8000,3862.32,0.12210000000000001,36,other,13.29%,GA,MORTGAGE,12500.0,695-699,10.0,93265.0,1.0,10+ years,695
35161,3000,3000.0,0.0603,36,debt_consolidation,11.03%,NY,MORTGAGE,7500.0,765-769,13.0,10585.0,0.0,n/a,765
64339,15000,15000.0,0.1433,36,debt_consolidation,27.25%,TX,MORTGAGE,7500.0,680-684,13.0,27872.0,0.0,10+ years,680
100635,12700,12700.0,0.1777,36,debt_consolidation,23.94%,AL,MORTGAGE,3333.33,685-689,14.0,9655.0,3.0,n/a,685
23566,16000,15745.73,0.11109999999999999,60,debt_consolidation,9.90%,MO,RENT,2958.33,765-769,6.0,8943.0,2.0,< 1 year,765
60832,7200,7200.0,0.079,36,debt_consolidation,21.74%,TX,RENT,4300.0,710-714,7.0,33189.0,0.0,10+ years,710
29595,30000,30000.0,0.2025,60,debt_consolidation,10.46%,VA,MORTGAGE,12500.0,695-699,10.0,43491.0,3.0,5 years,695
48620,20125,20125.0,0.1465,36,debt_consolidation,17.88%,FL,MORTGAGE,10353.33,695-699,11.0,23698.0,1.0,7 years,695
40753,12000,12000.0,0.1527,36,credit_card,16.46%,PA,OWN,2516.67,670-674,9.0,2174.0,2.0,5 years,670
9820,5000,4950.0,0.10619999999999999,60,home_improvement,11.23%,CA,MORTGAGE,5200.0,745-749,6.0,1941.0,1.0,5 years,745
7606,8000,7989.96,0.11359999999999999,36,other,5.27%,CA,MORTGAGE,13389.15,705-709,6.0,7351.0,1.0,3 years,705
32191,3600,3600.0,0.0662,36,credit_card,9.35%,TX,RENT,2000.0,735-739,17.0,1710.0,0.0,1 year,735
3414,8800,8350.0,0.09630000000000001,36,wedding,4.89%,GA,MORTGAGE,5479.0,755-759,5.0,6055.0,0.0,6 years,755
51742,18000,17925.0,0.19219999999999998,60,debt_consolidation,21.36%,CA,RENT,6867.92,690-694,13.0,19446.0,0.0,10+ years,690
98167,20000,20000.0,0.2376,60,debt_consolidation,18.75%,VA,MORTGAGE,6266.67,660-664,25.0,10784.0,3.0,10+ years,660
31654,4350,4350.0,0.0599,36,house,3.12%,CA,OWN,2600.0,780-784,5.0,866.0,0.0,< 1 year,780
26652,12000,11975.0,0.1099,60,home_improvement,4.04%,NY,MORTGAGE,3416.67,735-739,10.0,6935.0,0.0,< 1 year,735
54076,5400,5400.0,0.1367,36,debt_consolidation,15.42%,CA,RENT,1666.67,680-684,6.0,2533.0,0.0,4 years,680
19695,12000,11950.0,0.1268,60,debt_consolidation,22.72%,NY,RENT,5000.0,700-704,19.0,9002.0,0.0,n/a,700
62644,12000,12000.0,0.1777,36,debt_consolidation,24.48%,MI,OWN,3333.33,665-669,12.0,16984.0,0.0,10+ years,665
53454,6700,6700.0,0.079,36,credit_card,22.19%,KS,RENT,2708.33,705-709,10.0,6627.0,0.0,2 years,705
40692,3750,3750.0,0.11710000000000001,36,debt_consolidation,16.98%,CA,RENT,1650.0,675-679,6.0,8101.0,0.0,4 years,675
55177,8000,8000.0,0.1367,36,other,23.50%,NJ,RENT,2791.67,685-689,5.0,27151.0,0.0,< 1 year,685
24187,4500,4500.0,0.1149,36,other,9.26%,CA,RENT,3500.0,695-699,5.0,7247.0,0.0,2 years,695
20979,6000,5975.0,0.1714,60,small_business,6.60%,FL,MORTGAGE,2500.0,660-664,5.0,5087.0,0.0,8 years,660
81254,19400,19400.0,0.2328,60,credit_card,9.30%,NC,MORTGAGE,6000.0,660-664,5.0,28921.0,0.0,10+ years,660
13413,25000,15600.0,0.1793,60,small_business,19.94%,CA,RENT,5416.67,690-694,13.0,24810.0,0.0,10+ years,690
34871,8800,8800.0,0.1427,36,debt_consolidation,9.57%,IL,RENT,3833.33,695-699,4.0,8130.0,1.0,4 years,695
44681,4800,4800.0,0.1399,36,medical,7.39%,OH,RENT,5833.33,680-684,9.0,170.0,2.0,1 year,680
73773,5175,5175.0,0.1777,36,credit_card,22.93%,NY,RENT,1500.0,660-664,9.0,8577.0,1.0,5 years,660
12248,10000,9999.36,0.1075,60,home_improvement,4.05%,MD,MORTGAGE,8750.0,795-799,7.0,0.0,1.0,2 years,795
83704,12000,12000.0,0.1114,36,other,7.85%,VA,RENT,6666.67,720-724,11.0,4428.0,2.0,9 years,720
43610,5000,5000.0,0.0751,36,other,11.40%,FL,RENT,1666.67,750-754,4.0,7968.0,0.0,10+ years,750
43017,33600,33600.0,0.1727,60,debt_consolidation,15.08%,NY,RENT,5416.67,730-734,5.0,20514.0,1.0,8 years,730
80198,10000,10000.0,0.1311,36,debt_consolidation,29.13%,TX,MORTGAGE,8750.0,700-704,13.0,11125.0,2.0,< 1 year,700
91989,12000,11975.0,0.1629,36,other,14.29%,AZ,MORTGAGE,8541.67,695-699,5.0,5890.0,3.0,10+ years,695
87119,4000,4000.0,0.1433,36,renewable_energy,22.74%,MD,RENT,1666.67,665-669,7.0,278.0,0.0,3 years,665
66132,20000,20000.0,0.158,36,credit_card,13.13%,CT,RENT,5000.0,690-694,10.0,17981.0,1.0,3 years,690
73203,12000,12000.0,0.1409,36,debt_consolidation,19.49%,CA,RENT,6166.67,675-679,13.0,6499.0,0.0,6 years,675
76842,17500,17500.0,0.21,60,home_improvement,1.78%,NY,RENT,4166.67,685-689,7.0,3377.0,3.0,10+ years,685
41741,10000,10000.0,0.11710000000000001,36,credit_card,21.18%,FL,OWN,3333.33,690-694,8.0,7579.0,0.0,1 year,690
8127,3000,3000.0,0.1422,36,moving,10.05%,MA,RENT,9166.67,665-669,15.0,22698.0,2.0,6 years,665
4750,5600,5592.37,0.0859,36,credit_card,8.34%,NJ,MORTGAGE,3250.0,735-739,9.0,2639.0,1.0,5 years,735
93711,10000,10000.0,0.158,36,debt_consolidation,13.32%,AZ,RENT,5000.0,670-674,16.0,11286.0,1.0,< 1 year,670
28368,5000,5000.0,0.0849,36,debt_consolidation,22.53%,WA,MORTGAGE,3000.0,720-724,9.0,3388.0,2.0,10+ years,720
66425,16000,16000.0,0.21489999999999998,60,small_business,25.76%,NY,MORTGAGE,5000.0,670-674,14.0,10881.0,0.0,5 years,670
13652,4800,4800.0,0.1075,36,other,22.63%,MA,RENT,1750.0,710-714,6.0,11234.0,0.0,5 years,710
66166,24925,24925.0,0.1875,60,debt_consolidation,8.51%,AK,MORTGAGE,5250.0,710-714,7.0,15288.0,0.0,10+ years,710
73128,4825,4825.0,0.12119999999999999,36,debt_consolidation,4.76%,CT,MORTGAGE,5416.67,680-684,8.0,6883.0,0.0,8 years,680
42032,18750,18750.0,0.1825,60,debt_consolidation,12.54%,CO,MORTGAGE,4833.33,675-679,13.0,11232.0,2.0,10+ years,675
101034,5000,5000.0,0.1531,36,home_improvement,20.54%,CT,MORTGAGE,4166.67,675-679,18.0,12929.0,3.0,10+ years,675
102595,7500,224.99,0.1317,36,other,1.03%,CT,MORTGAGE,8750.0,675-679,3.0,3607.0,4.0,6 years,675
12429,10000,10000.0,0.16820000000000002,60,debt_consolidation,12.54%,MA,RENT,4417.0,680-684,9.0,6630.0,2.0,3 years,680
36084,5300,5300.0,0.079,36,debt_consolidation,9.67%,TX,RENT,1945.0,760-764,3.0,5360.0,0.0,8 years,760
3219,5000,5000.0,0.09630000000000001,36,educational,11.81%,AZ,MORTGAGE,9166.67,730-734,16.0,23658.0,2.0,10+ years,730
15120,25000,15051.09,0.1323,60,debt_consolidation,20.11%,TX,MORTGAGE,6666.67,735-739,11.0,33084.0,0.0,10+ years,735
3246,9250,9200.0,0.1189,36,debt_consolidation,16.28%,OH,MORTGAGE,5416.67,745-749,14.0,10111.0,6.0,6 years,745
14851,19000,18725.0,0.1075,60,home_improvement,6.19%,MD,MORTGAGE,7500.0,775-779,12.0,1142.0,1.0,8 years,775
45929,2000,2000.0,0.0603,36,debt_consolidation,8.01%,NY,RENT,5833.33,750-754,7.0,2031.0,0.0,< 1 year,750
62740,7200,7200.0,0.20489999999999997,60,other,15.14%,NJ,RENT,5166.67,670-674,10.0,14585.0,3.0,3 years,670
70648,8000,8000.0,0.1409,36,debt_consolidation,19.60%,CO,MORTGAGE,5292.0,695-699,13.0,8903.0,1.0,n/a,695
33500,13000,12875.0,0.11710000000000001,36,debt_consolidation,16.20%,NJ,RENT,6932.92,685-689,21.0,27852.0,0.0,9 years,685
55755,8000,8000.0,0.1629,36,wedding,2.92%,CT,MORTGAGE,4250.0,670-674,5.0,4454.0,2.0,10+ years,670
3158,14000,13675.0,0.09630000000000001,36,debt_consolidation,13.06%,CA,MORTGAGE,9083.33,760-764,21.0,46017.0,3.0,10+ years,760
40127,1400,1400.0,0.12689999999999999,36,other,5.93%,NJ,OWN,4583.33,700-704,3.0,1029.0,0.0,1 year,700
77444,9500,9500.0,0.08900000000000001,36,debt_consolidation,27.72%,CO,OWN,5000.0,735-739,4.0,18393.0,1.0,6 years,735
74186,12700,12700.0,0.1114,36,debt_consolidation,10.53%,NJ,OWN,3333.33,705-709,6.0,8948.0,0.0,< 1 year,705
45644,10000,10000.0,0.09759999999999999,36,debt_consolidation,18.31%,NJ,RENT,2916.67,725-729,6.0,5670.0,1.0,10+ years,725
2868,6000,5691.36,0.1189,36,major_purchase,11.55%,PA,RENT,2917.0,735-739,4.0,1003.0,2.0,1 year,735
28280,5200,5200.0,0.1399,36,debt_consolidation,23.18%,CA,MORTGAGE,5000.0,680-684,17.0,28118.0,2.0,5 years,680
50921,9000,8975.0,0.15810000000000002,36,debt_consolidation,10.69%,MO,RENT,3750.0,675-679,7.0,6599.0,1.0,10+ years,675
2425,12000,11854.04,0.1474,36,debt_consolidation,4.62%,NY,RENT,4500.0,695-699,3.0,7956.0,0.0,10+ years,695
1337,6600,3800.0,0.0907,36,other,1.84%,FL,OWN,2667.0,740-744,16.0,4889.0,1.0,< 1 year,740
56391,10000,10000.0,0.1399,36,debt_consolidation,8.62%,NJ,MORTGAGE,6458.33,670-674,13.0,7200.0,0.0,9 years,670
27919,1800,1800.0,0.1149,36,debt_consolidation,16.64%,WY,MORTGAGE,4250.0,695-699,11.0,26267.0,0.0,10+ years,695
78789,19000,19000.0,0.1875,60,home_improvement,17.40%,MN,OWN,4000.0,695-699,7.0,5246.0,2.0,10+ years,695
85290,24000,24000.0,0.20489999999999997,60,debt_consolidation,8.69%,NJ,MORTGAGE,5833.33,685-689,9.0,23006.0,0.0,10+ years,685
63588,11500,11475.0,0.1114,36,debt_consolidation,23.40%,FL,OWN,2833.33,700-704,8.0,17324.0,0.0,n/a,700
47887,12100,12100.0,0.1367,36,debt_consolidation,12.85%,FL,RENT,5000.0,690-694,8.0,12026.0,0.0,4 years,690
